,Segments,Type,YEAR,Total exports million USD,Main exports destiny,Value exports main partner,Partner share (%),Total Imports million U$S,Main imports origin,Value imports main partner,COUNTRY,DESCRIPTION,VALUE,PARTNER,SOURCE
0,Total de Dispositivos Medicos (DMs),exports,1970-01-01 00:00:00.000002020,726.0,United States,186.0,0.256,,,,Brazil,,,,
1,Audiologia,exports,1970-01-01 00:00:00.000002020,5.0,United States,2.0,0.33,,,,Brazil,,,,
2,Cardiovascular,exports,1970-01-01 00:00:00.000002020,53.0,Switzerland,20.0,0.373,,,,Brazil,,,,
3,Demais equip. de uso hospitalar inclusive laser,exports,1970-01-01 00:00:00.000002020,63.0,United States,13.0,0.213,,,,Brazil,,,,
4,Diagnostico por imagem e seus insumos,exports,1970-01-01 00:00:00.000002020,27.0,United States,9.0,0.33,,,,Brazil,,,,
5,Equip. e material de apoio OPME,exports,1970-01-01 00:00:00.000002020,52.0,United States,24.0,0.456,,,,Brazil,,,,
6,Equipamentos para laboratorio,exports,1970-01-01 00:00:00.000002020,13.0,United States,4.0,0.346,,,,Brazil,,,,
7,Materiais e aparelhos para odontologia,exports,1970-01-01 00:00:00.000002020,53.0,United States,13.0,0.244,,,,Brazil,,,,
8,Materiais e suprimentos,exports,1970-01-01 00:00:00.000002020,222.0,United States,42.0,0.188,,,,Brazil,,,,
9,Oftalmologia,exports,1970-01-01 00:00:00.000002020,1.0,United States,1.0,0.583,,,,Brazil,,,,
10,Ortopedia,exports,1970-01-01 00:00:00.000002020,51.0,Switzerland,14.0,0.269,,,,Brazil,,,,
11,OPME,exports,1970-01-01 00:00:00.000002020,156.0,United States,34.0,0.217,,,,Brazil,,,,
12,Materiais e equip. para uso medico hospitalar em US$,exports,1970-01-01 00:00:00.000002020,498.0,United States,108.0,0.218,,,,Brazil,,,,
13,Mobiliario para uso odonto medico hospitalar,exports,1970-01-01 00:00:00.000002020,10.0,Peru,2.0,0.252,,,,Brazil,,,,
14,Equipamentos de protecao individual (EPIs) em US$,exports,1970-01-01 00:00:00.000002020,47.0,China,19.0,0.401,,,,Brazil,,,,
15,Reagentes,exports,1970-01-01 00:00:00.000002020,224.0,United States,72.0,0.323,,,,Brazil,,,,
16,Equipamentos e analisadores para IVD (excl. TI),exports,1970-01-01 00:00:00.000002020,15.0,United States,5.0,0.33,,,,Brazil,,,,
17,Total de Dispositivos Medicos (DMs),Imports,1970-01-01 00:00:00.000002020,,,,0.23,6215.0,China,1429.0,Brazil,,,,
18,Audiologia,Imports,1970-01-01 00:00:00.000002020,,,,0.181,85.0,Switzerland,15.0,Brazil,,,,
19,Cardiovascular,Imports,1970-01-01 00:00:00.000002020,,,,0.236,136.0,United States,32.0,Brazil,,,,
20,Demais equip. de uso hospitalar inclusive laser,Imports,1970-01-01 00:00:00.000002020,,,,0.43,989.0,China,425.0,Brazil,,,,
21,Diagnostico por imagem e seus insumos,Imports,1970-01-01 00:00:00.000002020,,,,0.27,497.0,China,134.0,Brazil,,,,
22,Equip. e material de apoio OPME,Imports,1970-01-01 00:00:00.000002020,,,,0.29,363.0,United States,105.0,Brazil,,,,
23,Equipamentos para laboratorio,Imports,1970-01-01 00:00:00.000002020,,,,0.29,283.0,United States,82.0,Brazil,,,,
24,Materiais e aparelhos para odontologia,Imports,1970-01-01 00:00:00.000002020,,,,0.182,95.0,Germany,17.0,Brazil,,,,
25,Materiais e suprimentos,Imports,1970-01-01 00:00:00.000002020,,,,0.21,917.0,Malaysia,201.0,Brazil,,,,
26,Oftalmologia,Imports,1970-01-01 00:00:00.000002020,,,,0.494,60.0,United States,30.0,Brazil,,,,
27,Ortopedia,Imports,1970-01-01 00:00:00.000002020,,,,0.291,169.0,United States,49.0,Brazil,,,,
28,OPME,Imports,1970-01-01 00:00:00.000002020,,,,0.291,375.0,United States,109.0,Brazil,,,,
29,Materiais e equip. para uso medico hospitalar em US$,Imports,1970-01-01 00:00:00.000002020,,,,0.23,3249.0,China,761.0,Brazil,,,,
30,Equipamentos de protecao individual (EPIs),Imports,1970-01-01 00:00:00.000002020,,,,0.944,461.0,China,435.0,Brazil,,,,
31,Mobiliario para uso odonto medico,Imports,1970-01-01 00:00:00.000002020,,,,0.426,46.0,China,19.0,Brazil,,,,
32,Reagentes,Imports,1970-01-01 00:00:00.000002020,,,,0.181,2.479,Germany,448.0,Brazil,,,,
33,Equipamentos e analisadores para IVD (excl. TI),Imports,1970-01-01 00:00:00.000002020,,,,0.297,365.0,United States,108.0,Brazil,,,,
34,Total de Dispositivos Medicos (DMs),exports,1970-01-01 00:00:00.000002021,761410.0,United States,135123.0,0.177,,,,Brazil,,,,
35,Materiais e equipamentos para a saude,exports,1970-01-01 00:00:00.000002021,595771.0,United States,113839.0,0.191,,,,Brazil,,,,
36,Audiologia,exports,1970-01-01 00:00:00.000002021,7350.0,Poland,2249.0,0.306,,,,Brazil,,,,
37,Cardiovascular,exports,1970-01-01 00:00:00.000002021,72384.0,Belgium,21575.0,0.298,,,,Brazil,,,,
38,Demais equip. de uso hospitalar - inclusive laser,exports,1970-01-01 00:00:00.000002021,59107.0,United States,11097.0,,,,,Brazil,,,,
39,Diagnostico por imagem e seus insumos,exports,1970-01-01 00:00:00.000002021,28943.0,United States,10097.0,0.349,,,,Brazil,,,,
40,Equip. e material de apoio - OPME,exports,1970-01-01 00:00:00.000002021,53570.0,United States,28014.0,0.523,,,,Brazil,,,,
41,Equipamentos de Protecao Individual (EPIs),exports,1970-01-01 00:00:00.000002021,7378.0,Mexico,1518.0,0.206,,,,Brazil,,,,
42,Equipamentos para laboratorio,exports,1970-01-01 00:00:00.000002021,17029.0,United States,6185.0,0.363,,,,Brazil,,,,
43,Materiais e aparelhos para odontologia,exports,1970-01-01 00:00:00.000002021,71944.0,United States,16047.0,0.223,,,,Brazil,,,,
44,Materiais e suprimentos,exports,1970-01-01 00:00:00.000002021,256052.0,United States,48787.0,0.191,,,,Brazil,,,,
45,Mobiliario para uso odonto/medico/hospitalar,exports,1970-01-01 00:00:00.000002021,595771.0,United States,113839.0,0.191,,,,Brazil,,,,
46,Oftalmologia,exports,1970-01-01 00:00:00.000002021,932.0,United States,271.0,0.29,,,,Brazil,,,,
47,OPME,exports,1970-01-01 00:00:00.000002021,199329.0,Switzerland,39041.0,0.196,,,,Brazil,,,,
48,Ortopedia,exports,1970-01-01 00:00:00.000002021,68535.0,Switzerland,18319.0,0.267,,,,Brazil,,,,
49,Reagentes para IVD,exports,1970-01-01 00:00:00.000002021,200999.0, Paraguai,22571.0,0.112,,,,Brazil,,,,
50,Equipamentos e analisadores para IVD,exports,1970-01-01 00:00:00.000002021,20291.0,United States,6897.0,0.34,,,,Brazil,,,,
51,Total de Dispositivos medicos (DMs),Imports,1970-01-01 00:00:00.000002021,,,,0.195,6689051.0,United States,1304009.0,Brazil,,,,
52,Materiais e equipamentos para a saude,Imports,1970-01-01 00:00:00.000002021,,,,0.196,3835467.0,China,750557.0,Brazil,,,,
