,Segments,Type,YEAR,Total exports million USD,Main exports destiny,Value exports main partner,Partner share (%),Total Imports million U$S,Main imports origin,Value imports main partner,COUNTRY,DESCRIPTION,VALUE,PARTNER,SOURCE
0,Total de Dispositivos Medicos (DMs),exports,2020.0,726.0,United States,186.0,0.256,,,,Brazil,,,,
1,Audiologia,exports,2020.0,5.0,United States,2.0,0.33,,,,Brazil,,,,
2,Cardiovascular,exports,2020.0,53.0,Switzerland,20.0,0.373,,,,Brazil,,,,
3,Demais equip. de uso hospitalar inclusive laser,exports,2020.0,63.0,United States,13.0,0.213,,,,Brazil,,,,
4,Diagnostico por imagem e seus insumos,exports,2020.0,27.0,United States,9.0,0.33,,,,Brazil,,,,
5,Equip. e material de apoio OPME,exports,2020.0,52.0,United States,24.0,0.456,,,,Brazil,,,,
6,Equipamentos para laboratorio,exports,2020.0,13.0,United States,4.0,0.346,,,,Brazil,,,,
7,Materiais e aparelhos para odontologia,exports,2020.0,53.0,United States,13.0,0.244,,,,Brazil,,,,
8,Materiais e suprimentos,exports,2020.0,222.0,United States,42.0,0.188,,,,Brazil,,,,
9,Oftalmologia,exports,2020.0,1.0,United States,1.0,0.583,,,,Brazil,,,,
10,Ortopedia,exports,2020.0,51.0,Switzerland,14.0,0.269,,,,Brazil,,,,
11,OPME,exports,2020.0,156.0,United States,34.0,0.217,,,,Brazil,,,,
12,Materiais e equip. para uso medico hospitalar em US$,exports,2020.0,498.0,United States,108.0,0.218,,,,Brazil,,,,
13,Mobiliario para uso odonto medico hospitalar,exports,2020.0,10.0,Peru,2.0,0.252,,,,Brazil,,,,
14,Equipamentos de protecao individual (EPIs) em US$,exports,2020.0,47.0,China,19.0,0.401,,,,Brazil,,,,
15,Reagentes,exports,2020.0,224.0,United States,72.0,0.323,,,,Brazil,,,,
16,Equipamentos e analisadores para IVD (excl. TI),exports,2020.0,15.0,United States,5.0,0.33,,,,Brazil,,,,
17,Total de Dispositivos Medicos (DMs),Imports,2020.0,,,,0.23,6215.0,China,1429.0,Brazil,,,,
18,Audiologia,Imports,2020.0,,,,0.181,85.0,Switzerland,15.0,Brazil,,,,
19,Cardiovascular,Imports,2020.0,,,,0.236,136.0,United States,32.0,Brazil,,,,
20,Demais equip. de uso hospitalar inclusive laser,Imports,2020.0,,,,0.43,989.0,China,425.0,Brazil,,,,
21,Diagnostico por imagem e seus insumos,Imports,2020.0,,,,0.27,497.0,China,134.0,Brazil,,,,
22,Equip. e material de apoio OPME,Imports,2020.0,,,,0.29,363.0,United States,105.0,Brazil,,,,
23,Equipamentos para laboratorio,Imports,2020.0,,,,0.29,283.0,United States,82.0,Brazil,,,,
24,Materiais e aparelhos para odontologia,Imports,2020.0,,,,0.182,95.0,Germany,17.0,Brazil,,,,
25,Materiais e suprimentos,Imports,2020.0,,,,0.21,917.0,Malaysia,201.0,Brazil,,,,
26,Oftalmologia,Imports,2020.0,,,,0.494,60.0,United States,30.0,Brazil,,,,
27,Ortopedia,Imports,2020.0,,,,0.291,169.0,United States,49.0,Brazil,,,,
